Date	Price Open	Price Low	Price High	Price Close	Volume
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2009-10-06		1734.390314252	2428.146439952	1734.390314252	9561
2009-10-06		1734.390314252	2428.146439952	1734.390314252	
					0
					0
					0
					0
2009-10-13		1907.829345677	1907.829345677	1907.829345677	19
2009-10-13		1907.829345677	1907.829345677	1907.829345677	
					0
2009-10-15		1907.829345677	1907.829345677	1907.829345677	4484
2009-10-16		2081.268377102	2081.268377102	2081.268377102	2194
2009-10-19		2254.707408527	2254.707408527	2254.707408527	1908
2009-10-20		2462.834246237	2462.834246237	2462.834246237	
2009-10-20		2462.834246237	2462.834246237	2462.834246237	1908
					0
2009-10-22		2696.284371058	2696.284371058	2696.284371058	1878
2009-10-23		2965.912808163	2965.912808163	2965.912808163	36
2009-10-26		2911.987120742	2911.987120742	2911.987120742	1841
2009-10-26		2911.987120742	2911.987120742	2911.987120742	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2009-11-24		2911.987120742	2911.987120742	2911.987120742	36827
2009-11-24		2911.987120742	2911.987120742	2911.987120742	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-02-09		2911.987120742	2911.987120742	2911.987120742	18413
2010-02-09		2911.987120742	2911.987120742	2911.987120742	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-04-16		3025.442068111	3025.442068111	3025.442068111	1841
2010-04-16		3025.442068111	3025.442068111	3025.442068111	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-06-22		2776.513290355	2776.513290355	2776.513290355	9206
2010-06-22		2776.513290355	2776.513290355	2776.513290355	
					0
					0
					0
					0
					0
					0
					0
2010-07-02		3044.590435631	3044.590435631	3044.590435631	6500
2010-07-05		3044.590435631	3255.222478347	3255.222478347	
2010-07-05		3044.590435631	3255.222478347	3255.222478347	11048
					0
2010-07-07		3485.002888583	3485.002888583	3485.002888583	1841
2010-07-08		3829.673503938	3829.673503938	3829.673503938	1841
2010-07-09		4193.492486812	4193.492486812	4193.492486812	920
2010-07-12		4499.866367127	4499.866367127	4499.866367127	184
2010-07-13		4940.27882008	4940.27882008	4940.27882008	18
2010-07-14		5418.988008072	5418.988008072	5418.988008072	18
2010-07-14		5418.988008072	5418.988008072	5418.988008072	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-08-02		5955.142298623	5955.142298623	5955.142298623	1841
2010-08-02		5955.142298623	5955.142298623	5955.142298623	
					0
					0
					0
2010-08-06		6127.477606301	6127.477606301	6127.477606301	
2010-08-06		6127.477606301	6127.477606301	6127.477606301	11048
					0
					0
					0
					0
2010-08-13		5514.729845671	5514.729845671	5514.729845671	184
2010-08-16		4978.575555119	4978.575555119	4978.575555119	184
2010-08-17		4480.717999607	4480.717999607	4480.717999607	184
2010-08-18		4040.305546654	4040.305546654	4040.305546654	184
2010-08-19		3638.189828741	3638.189828741	3638.189828741	184
2010-08-20		3274.370845867	3274.370845867	3274.370845867	184
2010-08-23		2948.848598032	2948.848598032	2948.848598032	184
2010-08-24		2661.623085237	2661.623085237	2661.623085237	184
2010-08-25		2412.694307481	2412.694307481	2412.694307481	
2010-08-25		2412.694307481	2412.694307481	2412.694307481	184
					0
					0
2010-08-30		2182.913897245	2182.913897245	2182.913897245	
2010-08-30		2182.913897245	2182.913897245	2182.913897245	552
					0
2010-09-01		2010.578589567	2106.320427166	2010.578589567	1104
2010-09-06		1991.430222048	1991.430222048	1991.430222048	3682
2010-09-06		1991.430222048	1991.430222048	1991.430222048	
					0
					0
2010-09-09		1799.946546851	2106.320427166	2106.320427166	6260
2010-09-10		2010.578589567	2010.578589567	2010.578589567	368
2010-09-10		2010.578589567	2010.578589567	2010.578589567	
					0
2010-09-14		2068.023692126	2068.023692126	2068.023692126	184
2010-09-14		2068.023692126	2068.023692126	2068.023692126	
					0
					0
2010-09-17		1876.54001693	1876.54001693	1876.54001693	
2010-09-17		1876.54001693	1876.54001693	1876.54001693	1657
					0
2010-09-21		2010.578589567	2010.578589567	2010.578589567	184
2010-09-22		2202.062264764	2202.062264764	2202.062264764	
2010-09-22		2202.062264764	2202.062264764	2202.062264764	184
					0
					0
2010-09-27		2106.320427166	2202.062264764	2202.062264764	7365
2010-09-27		2106.320427166	2202.062264764	2202.062264764	
					0
2010-09-29		2144.617162205	2144.617162205	2144.617162205	5708
2010-09-30		2144.617162205	2163.765529725	2163.765529725	38669
2010-09-30		2144.617162205	2163.765529725	2163.765529725	
					0
2010-10-04		2048.875324607	2106.320427166	2106.320427166	7181
2010-10-04		2048.875324607	2106.320427166	2106.320427166	
					0
2010-10-06		2106.320427166	2106.320427166	2106.320427166	3498
2010-10-06		2106.320427166	2106.320427166	2106.320427166	
					0
					0
					0
2010-10-12		2048.875324607	2048.875324607	2048.875324607	9206
2010-10-13		2048.875324607	2048.875324607	2048.875324607	5524
2010-10-14		2029.726957087	2029.726957087	2029.726957087	18413
2010-10-14		2029.726957087	2029.726957087	2029.726957087	
					0
					0
2010-10-19		2029.726957087	2029.726957087	2029.726957087	
2010-10-19		2029.726957087	2029.726957087	2029.726957087	3682
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-11-03		2106.320427166	2106.320427166	2106.320427166	5524
2010-11-03		2106.320427166	2106.320427166	2106.320427166	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2010-12-03		1953.133487008	1953.133487008	1953.133487008	18413
2010-12-03		1953.133487008	1953.133487008	1953.133487008	
					0
2010-12-07		2144.617162205	2144.617162205	2144.617162205	
2010-12-07		2144.617162205	2144.617162205	2144.617162205	184
					0
2010-12-09		2355.249204922	2355.249204922	2355.249204922	184
2010-12-10		2585.029615158	2585.029615158	2585.029615158	184
2010-12-10		2585.029615158	2585.029615158	2585.029615158	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-01-04		2585.029615158	2585.029615158	2585.029615158	184
2011-01-05		2585.029615158	2585.029615158	2585.029615158	736
2011-01-06		2326.52656416	2326.52656416	2326.52656416	
2011-01-06		2326.52656416	2326.52656416	2326.52656416	184
					0
2011-01-10		2147.562982302	2147.562982302	2147.562982302	184
2011-01-11		2346.411406589	2346.411406589	2346.411406589	184
2011-01-11		2346.411406589	2346.411406589	2346.411406589	
					0
					0
					0
2011-01-17		2127.678139873	2565.144673305	2127.678139873	368
2011-01-17		2127.678139873	2565.144673305	2127.678139873	
					0
					0
2011-01-20		2386.181091447	2525.374988448	2525.374988448	
2011-01-20		2386.181091447	2525.374988448	2525.374988448	552
					0
2011-01-24		2246.987194446	2525.374988448	2525.374988448	368
2011-01-25		2187.332667159	2187.332667159	2187.332667159	2209
2011-01-26		1968.599400443	2008.369085301	1968.599400443	4235
2011-01-27		1988.484242872	1988.484242872	1988.484242872	36459
2011-01-27		1988.484242872	1988.484242872	1988.484242872	
					0
2011-02-08		1829.405503442	1829.405503442	1829.405503442	184
2011-02-09		1650.441921584	1988.484242872	1650.441921584	368
2011-02-10		1650.441921584	1650.441921584	1650.441921584	184
2011-02-11		1809.520661014	1809.520661014	1809.520661014	920
2011-02-14		1690.211606441	1690.211606441	1690.211606441	184
2011-02-14		1690.211606441	1690.211606441	1690.211606441	
					0
2011-02-16		1670.326764013	1670.326764013	1670.326764013	15835
2011-02-17		1511.248024583	1829.405503442	1511.248024583	552
2011-02-18		1570.902551869	1789.635818585	1789.635818585	2025
2011-02-21		1610.672236726	1630.557079155	1630.557079155	368
2011-02-22		1789.635818585	1789.635818585	1789.635818585	5524
2011-02-23		1610.672236726	1789.635818585	1789.635818585	736
2011-02-24		1590.787394298	1889.060030729	1889.060030729	6628
2011-02-25		1869.1751883	1869.1751883	1869.1751883	184
2011-02-28		2048.138770158	2048.138770158	2048.138770158	9022
2011-02-28		2048.138770158	2048.138770158	2048.138770158	
					0
2011-03-02		2246.987194446	2246.987194446	2246.987194446	184
2011-03-03		2028.25392773	2028.25392773	2028.25392773	12521
2011-03-03		2028.25392773	2028.25392773	2028.25392773	
					0
2011-03-07		1829.405503442	1829.405503442	1829.405503442	184
2011-03-08		1650.441921584	1869.1751883	1869.1751883	55425
2011-03-09		1690.211606441	1690.211606441	1690.211606441	184
2011-03-09		1690.211606441	1690.211606441	1690.211606441	
					0
					0
2011-03-14		1531.132867012	1849.290345871	1531.132867012	552
2011-03-14		1531.132867012	1849.290345871	1531.132867012	
					0
					0
					0
2011-03-18		1789.635818585	1789.635818585	1789.635818585	19334
2011-03-18		1789.635818585	1789.635818585	1789.635818585	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-04-13		1610.672236726	1610.672236726	1610.672236726	184
2011-04-14		1451.593497297	1451.593497297	1451.593497297	184
2011-04-14		1451.593497297	1451.593497297	1451.593497297	
					0
2011-04-18		1590.787394298	1590.787394298	1590.787394298	184
2011-04-19		1431.708654868	1749.866133728	1431.708654868	368
2011-04-20		1749.866133728	1749.866133728	1749.866133728	184
2011-04-21		1908.944873157	1908.944873157	1908.944873157	2025
2011-04-22		1988.484242872	1988.484242872	1988.484242872	1104
2011-04-22		1988.484242872	1988.484242872	1988.484242872	
					0
					0
					0
2011-04-28		1928.829715586	1988.484242872	1928.829715586	19702
2011-04-29		1988.484242872	1988.484242872	1988.484242872	1288
2011-04-29		1988.484242872	1988.484242872	1988.484242872	
					0
					0
					0
2011-05-09		1988.484242872	1988.484242872	1988.484242872	
2011-05-09		1988.484242872	1988.484242872	1988.484242872	2762
					0
					0
					0
					0
					0
					0
2011-05-18		1988.484242872	1988.484242872	1988.484242872	368
2011-05-18		1988.484242872	1988.484242872	1988.484242872	
					0
					0
					0
					0
					0
2011-05-26		1789.635818585	1789.635818585	1789.635818585	920
2011-05-27		1610.672236726	1610.672236726	1610.672236726	12889
2011-05-27		1610.672236726	1610.672236726	1610.672236726	
					0
					0
					0
					0
					0
					0
					0
					0
2011-06-09		1525.899371257	1525.899371257	1525.899371257	368
2011-06-09		1525.899371257	1525.899371257	1525.899371257	
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-06-23		1674.250699018	1674.250699018	1674.250699018	3682
2011-06-24		1822.602026779	1822.602026779	1822.602026779	3682
2011-06-27		1992.146401363	1992.146401363	1992.146401363	7365
2011-06-27		1992.146401363	1992.146401363	1992.146401363	
					0
					0
					0
					0
2011-07-04		1801.408979956	1801.408979956	1801.408979956	12889
2011-07-05		1970.95335454	1970.95335454	1970.95335454	1841
2011-07-06		2161.690775947	2161.690775947	2161.690775947	1841
2011-07-06		2161.690775947	2161.690775947	2161.690775947	
					0
					0
					0
					0
2011-07-13		1949.760307717	1949.760307717	1949.760307717	9206
2011-07-13		1949.760307717	1949.760307717	1949.760307717	
					0
					0
					0
					0
					0
					0
					0
					0
2011-07-26		1759.02288631	1759.02288631	1759.02288631	184
2011-07-26		1759.02288631	1759.02288631	1759.02288631	
					0
2011-07-28		1589.478511726	1589.478511726	1589.478511726	2762
2011-07-29		1441.127183965	1441.127183965	1441.127183965	3130
2011-07-29		1441.127183965	1441.127183965	1441.127183965	
					0
					0
					0
					0
2011-08-05		1441.127183965	1441.127183965	1441.127183965	10311
2011-08-05		1441.127183965	1441.127183965	1441.127183965	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-09-13		1568.285464903	1568.285464903	1568.285464903	736
2011-09-13		1568.285464903	1568.285464903	1568.285464903	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-10-21		2161.690775947	2161.690775947	2161.690775947	184
2011-10-21		2161.690775947	2161.690775947	2161.690775947	
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-11-04		2182.88382277	2182.88382277	2182.88382277	
2011-11-04		2182.88382277	2182.88382277	2182.88382277	15099
					0
					0
					0
					0
					0
2011-11-14		2204.076869593	2204.076869593	2204.076869593	
2011-11-14		2204.076869593	2204.076869593	2204.076869593	920
					0
2011-11-16		2119.304682301	2119.304682301	2119.304682301	920
2011-11-16		2119.304682301	2119.304682301	2119.304682301	
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
